Ref,Val,Package,PosX,PosY,Rot,Side
"R31","10M","R_0402_1005Metric",106.591100,-105.143300,180.000000,top
"R32","200k","R_0402_1005Metric",104.419400,-108.915200,0.000000,top
"R41","100k","R_0402_1005Metric",108.400000,-118.000000,90.000000,top
"R42","100k","R_0402_1005Metric",109.600000,-118.000000,90.000000,top
"R43","5.6k","R_0402_1005Metric",160.460000,-93.270000,0.000000,top
"R44","5.6k","R_0402_1005Metric",160.900000,-89.500000,-90.000000,top
"R45","1k","R_0402_1005Metric",111.700000,-97.000000,0.000000,top
"SW1","SW_Push","SW_SPST_TL3305A",83.250000,-94.680000,90.000000,top
"U1","AS4C512M16D3L-12BIN","Alliance_Memory-AS4C512M16D3L-12BIN-0-0-IPC_A",135.553200,-100.863200,90.000000,top
"U2","A33","Allwinner_Technology_Co.,_Ltd.-A33-0",114.757200,-108.966000,180.000000,top
"U3","TPS62095RGTR","TI_RTE_S-PWQFN-N16",146.558000,-112.328960,180.000000,top
"U4","TPS62095RGTR","TI_RTE_S-PWQFN-N16",129.997200,-124.167900,0.000000,top
"U5","TPS62095RGTR","TI_RTE_S-PWQFN-N16",140.799820,-124.220160,0.000000,top
"U6","TPS62095RGTR","TI_RTE_S-PWQFN-N16",132.100320,-132.958840,-90.000000,top
"U7","AP131-25","SOT-23-5",125.333760,-130.012440,90.000000,top
"U9","AP3036B","SOT-23-6",90.200000,-94.975000,90.000000,top
"U11","LM66100DCK","SOT-363_SC-70-6",159.582500,-97.040000,-90.000000,top
"U12","LM66100DCK","SOT-363_SC-70-6",158.850000,-86.940000,90.000000,top
"U15","NUP2202","SOT-363_SC-70-6",144.450000,-92.000000,-90.000000,top
"Y1","24Mhz","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",118.033800,-98.399600,0.000000,top
"Y2","32.768khz","Abracon-ABS05-0-0-MFG",105.640840,-103.510160,90.000000,top
